ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
00601	18570	10679	7891	0.575	0.425
00602	41520	41520	0	1.0	0.0
00603	54689	54646	43	0.999	0.001
00606	6615	2697	3918	0.408	0.592
00610	29016	25640	3376	0.884	0.116
00612	67010	62391	4619	0.931	0.069
00616	11017	10438	579	0.947	0.053
00617	24597	24161	436	0.982	0.018
00622	7853	6171	1682	0.786	0.214
00623	43061	42435	626	0.985	0.015
00624	26241	22198	4043	0.846	0.154
00627	35159	30415	4744	0.865	0.135
00631	1852	0	1852	0.0	1.0
00637	25287	23163	2124	0.916	0.084
00638	18941	11839	7102	0.625	0.375
00641	31191	17647	13544	0.566	0.434
00646	38199	38199	0	1.0	0.0
00647	6172	4824	1348	0.782	0.218
00650	14998	10556	4442	0.704	0.296
00652	4715	3499	1216	0.742	0.258
00653	13307	12414	893	0.933	0.067
00656	21481	18931	2550	0.881	0.119
00659	41953	37407	4546	0.892	0.108
00660	17250	17216	34	0.998	0.002
00662	43282	41045	2237	0.948	0.052
00664	16784	11300	5484	0.673	0.327
00667	25968	21332	4636	0.821	0.179
00669	29744	23005	6739	0.773	0.227
00670	9807	3214	6593	0.328	0.672
00674	44457	41451	3006	0.932	0.068
00676	40316	35279	5037	0.875	0.125
00677	15272	15272	0	1.0	0.0
00678	27819	25250	2569	0.908	0.092
00680	58140	55306	2834	0.951	0.049
00682	32615	31681	934	0.971	0.029
00683	33772	30656	3116	0.908	0.092
00685	42831	37131	5700	0.867	0.133
00687	32610	29002	3608	0.889	0.111
00688	13543	11072	2471	0.818	0.182
00690	6255	6255	0	1.0	0.0
00692	37511	36811	700	0.981	0.019
00693	61038	58565	2473	0.959	0.041
00694	328	328	0	1.0	0.0
00698	41782	34339	7443	0.822	0.178
00703	28605	25704	2901	0.899	0.101
00704	8577	8451	126	0.985	0.015
00705	25598	22433	3165	0.876	0.124
00707	12225	9277	2948	0.759	0.241
00714	19566	18740	826	0.958	0.042
00715	3656	3445	211	0.942	0.058
00716	33779	33772	7	1.0	0.0
00717	18457	18457	0	1.0	0.0
00718	26606	24447	2159	0.919	0.081
00719	30990	30990	0	1.0	0.0
00720	23129	15016	8113	0.649	0.351
00723	19277	14345	4932	0.744	0.256
00725	89374	88248	1126	0.987	0.013
00727	58382	58098	284	0.995	0.005
00728	44908	44878	30	0.999	0.001
00729	53750	52665	1085	0.98	0.02
00730	35742	35602	140	0.996	0.004
00731	15524	9941	5583	0.64	0.36
00735	13730	12055	1675	0.878	0.122
